system,frame,first_converged_bond_dim,converged_within_grid,mpo_bond_dimension,first_converged_dmrg_seconds
O2_1.7500_sto_3g,Pauli_BLISS+HCT_N_Comm,9,True,771,3.8720761249933275
O2_1.7500_sto_3g,BS_Nover2_Comm,12,True,672,0.8796650410004077
O2_1.7500_sto_3g,BS_N_Comm,6,True,1290,0.9878662080009235
O2_1.7500_sto_3g,HCT_N_Comm_Fiedler,5,True,916,1.0902858329936862
O2_1.7500_sto_3g,BS_N_Comm_Fiedler,5,True,833,0.7010539169932599
O2_2.5000_sto_3g,raw_fermionic_su2,8,True,87,0.18125175000022864
O2_2.5000_sto_3g,raw_qubit,4,True,366,0.3706505410009413
O2_2.5000_sto_3g,seniority_Nover2,4,True,416,0.4571809169938206
O2_2.5000_sto_3g,HCT_Nover2_Comm,4,True,1001,0.6503515419972246
O2_2.5000_sto_3g,HCT_N_Comm,3,True,872,0.6150565830030246
O2_2.5000_sto_3g,Pauli_BLISS+HCT_N_Comm,4,True,804,2.02537024999765
O2_2.5000_sto_3g,BS_Nover2_Comm,5,True,588,0.5628879580035573
O2_2.5000_sto_3g,BS_N_Comm,4,True,1100,0.8059438750060508
O2_2.5000_sto_3g,HCT_N_Comm_Fiedler,2,True,1174,0.7141553749970626
O2_2.5000_sto_3g,BS_N_Comm_Fiedler,4,True,1157,0.8054499169957126
